run_date,retailer_id,branch_id,timeframe_start,timeframe_end,net_revenue,margin,total_cost,other_income_total,net_profit,cost_per_day,cost_per_revenue,cost_group_name,cost_group_value,cost_group_percent,timeframe_type
2025-05-05,500603355,296809,2025-04-01,2025-04-29,1900806736.000000,1900806736.0,0.0,0.000000,1900806736.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,317609,2025-04-01,2025-04-29,340965179.000000,340965179.0,0.0,0.000000,340965179.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271167,2025-04-01,2025-04-29,280181879.000000,280181879.0,0.0,0.000000,280181879.0,1.0,0.0,"[""delivery_partner_fee"",""OtherCosts"",""payment_point"",""damage_product"",""payment_voucher"",""employee_salary""]","[0,0,0,0,0,0]",[],Quý này
2025-05-05,285727,54778,2025-04-01,2025-04-29,43923264.000000,7275921.600757805,0.0,0.000000,7275921.600757805,1.0,0.0,"[""payment_point"",""payment_voucher"",""damage_product"",""delivery_partner_fee"",""OtherCosts"",""employee_salary""]","[0,0,0,0,0,0]",[],Quý này
2025-05-05,500603355,294602,2025-04-01,2025-04-29,11606842252.000000,11606842252.0,0.0,0.000000,11606842252.0,1.0,0.0,"[""OtherCosts"",""delivery_partner_fee"",""payment_point"",""payment_voucher"",""employee_salary"",""damage_product""]","[0,0,0,0,0,0]",[],Quý này
2025-05-05,500603355,1000271595,2025-04-01,2025-04-29,593644020.000000,593644020.0,0.0,0.000000,593644020.0,1.0,0.0,"[""payment_voucher"",""damage_product"",""delivery_partner_fee"",""payment_point"",""OtherCosts"",""employee_salary""]","[0,0,0,0,0,0]",[],Quý này
2025-05-05,500603355,1000271589,2025-04-01,2025-04-29,16246780.000000,16246780.0,0.0,0.000000,16246780.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,296814,2025-04-01,2025-04-29,578777801.000000,578777801.0,0.0,0.000000,578777801.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271689,2025-04-01,2025-04-29,507901559.000000,507901559.0,0.0,0.000000,507901559.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,296790,2025-04-01,2025-04-29,6872649676.000000,6872649676.0,0.0,0.000000,6872649676.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271581,2025-04-01,2025-04-29,11060795821.000000,8275317301.369755,0.0,0.000000,8275317301.369755,1.0,0.0,,,,Quý này
2025-05-05,500603355,320853,2025-04-01,2025-04-29,67356495.000000,67356495.0,0.0,0.000000,67356495.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,310188,2025-04-01,2025-04-29,66276602.000000,66276602.0,0.0,0.000000,66276602.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,296820,2025-04-01,2025-04-29,205821370.000000,205821370.0,0.0,0.000000,205821370.0,1.0,0.0,,,,Quý này
2025-05-05,500603355,1000271594,2025-04-01,2025-04-29,164703995.000000,164703995.0,0.0,0.000000,164703995.0,1.0,0.0,,,,Quý này
