run_date,retailer_id,branch_id,timeframe_start,timeframe_end,grouping_customer_rfm,num_customer_rfm,customer_ratio_rfm,revenue_rfm,return_value_rfm,profit_rfm
2025-05-05,500603355,1000271588,2024-04-01,2025-04-29,"[1,3]","[22,18]","[55.0,45.0]","[2061796489,666624162]","[17934889,0]","[2043861600,666624162]"
2025-05-05,500603355,1000271585,2024-04-01,2025-04-29,"[1,3]","[3,15]","[16.67,83.33]","[115985158,512463336]","[0,0]","[115985158,512463336]"
2025-05-05,500603355,310188,2024-04-01,2025-04-29,"[1,3]","[6,4]","[60.0,40.0]","[1159795069,18475300]","[0,0]","[1159795069,18475300]"
2025-05-05,500603355,320852,2024-04-01,2025-04-29,"[1,2,3]","[10,5,21]","[27.78,13.89,58.33]","[3229973258,36609817,122191170]","[0,0,0]","[3229973258,36609817,122191170]"
2025-05-05,500577674,276709,2024-04-01,2025-04-29,"[1,2,3,4,5]","[95,100,76,45,33]","[27.22,28.65,21.78,12.89,9.46]","[43387663479,10918106713,3553493622,709196480,49363580]","[377379940,419557085,335696285,6267000,0]","[9535891567,2959550562,508448866,104465954,-39336675]"
2025-05-05,500603355,1000271618,2024-04-01,2025-04-29,"[1,3]","[11,5]","[68.75,31.25]","[600749475,20462808]","[0,0]","[600749475,20462808]"
2025-05-05,500603355,1000271595,2024-04-01,2025-04-29,"[1,3]","[6,7]","[46.15,53.85]","[1290289432,297142073]","[0,0]","[1290289432,297142073]"
2025-05-05,500603355,1000271648,2024-04-01,2025-04-29,[1],[16],[100.0],[235137411],[0],[235137411]
2025-05-05,500603355,1000271592,2024-04-01,2025-04-29,"[1,3]","[7,1]","[87.5,12.5]","[287104573,37955747]","[0,0]","[287104573,37955747]"
2025-05-05,500603355,310114,2024-04-01,2025-04-29,"[1,2,3]","[17,4,6]","[62.96,14.81,22.22]","[3554752991,213942773,153722539]","[0,0,0]","[3554752991,213942773,153722539]"
2025-05-05,500603355,1000271587,2024-04-01,2025-04-29,"[1,3]","[58,23]","[71.6,28.4]","[3259092389,288857727]","[0,0]","[3259092389,288857727]"
2025-05-05,500603355,1000271619,2024-04-01,2025-04-29,"[1,3]","[3,1]","[75.0,25.0]","[206934320,41231566]","[0,0]","[206934320,41231566]"
2025-05-05,500603355,1000271586,2024-04-01,2025-04-29,"[1,3]","[17,29]","[36.96,63.04]","[1921891310,277713126]","[7713058,0]","[1914178252,277713126]"
2025-05-05,500603355,1000271589,2024-04-01,2025-04-29,[1],[2],[100.0],[58052518],[0],[58052518]
2025-05-05,500603355,1000271671,2024-04-01,2025-04-29,"[1,3]","[5,4]","[55.56,44.44]","[678850222,108621327]","[0,0]","[678850222,108621327]"
2025-05-05,500603355,296809,2024-04-01,2025-04-29,"[1,2,3]","[17,7,30]","[31.48,12.96,55.56]","[12250323209,630593281,357075838]","[147942666,0,0]","[12102380543,630593281,357075838]"
