run_date,retailer_id,branch_id,timeframe_start,timeframe_end,net_revenue,margin,total_cost,other_income_total,net_profit,cost_per_day,cost_per_revenue,cost_group_name,cost_group_value,cost_group_percent,timeframe_type
2025-05-05,500603355,296819,2025-03-01,2025-04-01,1202976152.0,1202976152.0,0.0,0.0,1202976152.0,1.0,0.0,"[""delivery_partner_fee"",""payment_voucher"",""OtherCosts"",""payment_point"",""employee_salary"",""damage_product""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,1000271587,2025-03-01,2025-04-01,1424047556.0,1424047556.0,0.0,0.0,1424047556.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,296815,2025-03-01,2025-04-01,674893930.0,674893930.0,0.0,0.0,674893930.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271588,2025-03-01,2025-04-01,1501301311.0,1501301311.0,0.0,0.0,1501301311.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,320846,2025-03-01,2025-04-01,196702250.0,196702250.0,0.0,0.0,196702250.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271641,2025-03-01,2025-04-01,184520449.0,184520449.0,0.0,0.0,184520449.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,304106,2025-03-01,2025-04-01,18753318.0,18753318.0,0.0,0.0,18753318.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,316614,2025-03-01,2025-04-01,640555054.0,640555054.0,0.0,0.0,640555054.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,317610,2025-03-01,2025-04-01,149295563.0,149295563.0,0.0,0.0,149295563.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,310192,2025-03-01,2025-04-01,1212173961.0,1212173961.0,0.0,0.0,1212173961.0,1.0,0.0,"[""delivery_partner_fee"",""payment_voucher"",""payment_point"",""OtherCosts"",""employee_salary"",""damage_product""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,296794,2025-03-01,2025-04-01,1011884126.0,1011884126.0,0.0,0.0,1011884126.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271590,2025-03-01,2025-04-01,355718067.0,355718067.0,0.0,0.0,355718067.0,1.0,0.0,"[""employee_salary"",""damage_product"",""payment_point"",""delivery_partner_fee"",""payment_voucher"",""OtherCosts""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,1000271597,2025-03-01,2025-04-01,1211434164.0,1211434164.0,0.0,0.0,1211434164.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,320852,2025-03-01,2025-04-01,639139909.0,639139909.0,0.0,0.0,639139909.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271592,2025-03-01,2025-04-01,325060320.0,325060320.0,0.0,0.0,325060320.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271591,2025-03-01,2025-04-01,790408203.0,790408203.0,0.0,0.0,790408203.0,1.0,0.0,"[""delivery_partner_fee"",""payment_point"",""OtherCosts"",""employee_salary"",""damage_product"",""payment_voucher""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,310114,2025-03-01,2025-04-01,773758382.0,773758382.0,0.0,0.0,773758382.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271582,2025-03-01,2025-04-01,488859521.0,488859521.0,0.0,0.0,488859521.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271601,2025-03-01,2025-04-01,3326676008.0,541439379.1197772,0.0,0.0,541439379.1197772,1.0,0.0,,,,Tháng trước
